year,temperature,humidity,rainfall,category,label
2018,25.3,86.0,309.0,holti,Cabai Rawit
2018,25.4,85.0,396.0,holti,Cabai Rawit
2018,26.0,84.0,206.0,holti,Cabai Rawit
2018,26.7,80.0,118.0,holti,Cabai Rawit
2018,25.9,78.0,23.0,holti,Cabai Rawit
2018,25.0,80.0,77.0,holti,Cabai Rawit
2018,24.1,78.0,4.0,holti,Cabai Rawit
2018,24.1,76.0,1.0,holti,Cabai Rawit
2018,25.4,75.0,4.0,holti,Cabai Rawit
2018,26.5,75.0,1.0,holti,Cabai Rawit
2018,26.4,82.0,262.0,holti,Cabai Rawit
2018,26.0,86.0,263.0,holti,Cabai Rawit
2020,26.6,82.0,250.5,holti,Kacang Panjang
2020,26.3,85.0,267.5,holti,Kacang Panjang
2020,26.1,86.0,350.6,holti,Kacang Panjang
2020,26.5,84.0,204.1,holti,Kacang Panjang
2020,26.2,84.0,742.6,holti,Kacang Panjang
2020,25.0,83.0,30.0,holti,Kacang Panjang
2020,24.2,82.0,8.1,holti,Kacang Panjang
2020,24.8,79.0,19.8,holti,Kacang Panjang
2020,24.8,80.0,19.8,holti,Kacang Panjang
2020,26.0,81.0,179.4,holti,Kacang Panjang
2020,26.3,84.0,247.7,holti,Kacang Panjang
2020,25.5,86.0,289.5,holti,Kacang Panjang
2021,25.3,88.0,373.0,holti,Cabai Rawit
2021,25.8,84.0,233.0,holti,Cabai Rawit
2021,25.7,85.0,348.0,holti,Cabai Rawit
2021,25.8,81.0,154.0,holti,Cabai Rawit
2021,26.1,81.0,54.0,holti,Cabai Rawit
2021,25.9,82.0,200.0,holti,Cabai Rawit
2021,24.5,80.0,38.0,holti,Cabai Rawit
2021,25.0,80.0,11.0,holti,Cabai Rawit
2021,25.5,80.0,134.0,holti,Cabai Rawit
2021,26.2,80.0,44.0,holti,Cabai Rawit
2021,25.5,79.0,562.0,holti,Cabai Rawit
2021,26.2,86.0,258.0,holti,Cabai Rawit
2022,25.8,84.0,183.0,holti,Kubis
2022,25.7,85.0,328.0,holti,Kubis
2022,26.1,85.0,242.0,holti,Kubis
2022,25.8,84.0,266.0,holti,Kubis
2022,26.5,82.0,253.0,holti,Kubis
2022,25.4,82.0,141.0,holti,Kubis
2022,24.9,79.0,11.0,holti,Kubis
2022,25.0,79.0,66.0,holti,Kubis
2022,25.5,80.0,165.0,holti,Kubis
2022,25.2,86.0,578.0,holti,Kubis
2022,25.5,87.0,429.0,holti,Kubis
2022,25.9,83.0,278.0,holti,Kubis
2023,26.1,82.0,179.0,holti,Kubis
2023,25.6,86.0,314.0,holti,Kubis
2023,25.8,82.0,212.0,holti,Kubis
2023,26.2,85.0,185.0,holti,Kubis
2023,25.6,80.0,103.0,holti,Kubis
2023,25.4,82.0,74.0,holti,Kubis
2023,24.0,80.0,107.0,holti,Kubis
2023,24.1,80.0,0.0,holti,Kubis
2023,25.1,73.0,0.0,holti,Kubis
2023,27.4,73.0,14.0,holti,Kubis
2023,27.5,77.0,81.0,holti,Kubis
2023,26.9,79.0,131.0,holti,Kubis
